RCA,Pumice,Cement,Packing,,,,,,,,,,
0.75 ,0.25 ,0.00 , 0.703 ,,,,,,,,,,
0.80 ,0.00 ,0.20 , 0.739 ,,,,,,,,,,
0.80 ,0.05 ,0.15 , 0.723 ,,,,,,,,,,
0.80 ,0.10 ,0.10 , 0.708 ,,,,,,,,,,
0.80 ,0.15 ,0.05 , 0.694 ,,,,,,,,,,
0.80 ,0.20 ,0.00 , 0.680 ,,,,,,,,,,
0.85 ,0.00 ,0.15 , 0.699 ,,,,,,,,,,
0.85 ,0.05 ,0.10 , 0.685 ,,,,,,,,,,
0.85 ,0.10 ,0.05 , 0.671 ,,,,,,,,,,
0.85 ,0.15 ,0.00 , 0.658 ,,,,,,,,,,
0.90 ,0.00 ,0.10 , 0.662 ,,,,,,,,,,
0.90 ,0.05 ,0.05 , 0.650 ,,,,,,,,,,
0.90 ,0.10 ,0.00 , 0.637 ,,,,,,,,,,
0.95 ,0.00 ,0.05 , 0.630 ,,,,,,,,,,
0.95 ,0.05 ,0.00 , 0.618 ,,,,,,,,,,
1.00 ,0.00 ,0.00 , 0.600 ,,,,,,,,,,
